tweet_id,customer_message,support_response,intent
1000017,"CANT STAND THOSE DAMN SQUARES, . Y’all need to fix that shit.","Let us know via DM the device you are experiencing this on and with which version of the iOS, then we can advise from there. https://t.co/GDrqU22YpT",general_complaint_vague
1000206,"This thing happens frequently https://t.co/prS4nOiHSh","We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT",no_actionable_content
1000224,"I need to fix this fucking issue 👉🏼 I️","Let's help you get this addressed. Meet up with us in DM at the link below. Tell us your iOS version there please. https://t.co/GDrqU22YpT",general_complaint_vague
1000230,11.0.3,"Glad to see you're up to date. Does the unresponsiveness happen when using certain apps, or system-wide?",software_issue
1002037,"My #iphone6 cannot stay charged since I updated it. Is this a way to force me to upgrade?","we want you to have a good experience with the update. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT",hardware_issue
1002039,"please fix this battery issue. Ridiculous!","Thanks for reaching out to us. Please send us a DM with details about your issue. https://t.co/GDrqU22YpT",hardware_issue
1002253,"Please help me out it’s driving me nuts","We'll do everything we can to get Messages working again. Have you recently changed your mobile plan? Let us know in DM. https://t.co/GDrqU22YpT",general_complaint_vague
1002744,"Who else facing #Notifications #Problem for #iPhone #iOS New Things won’t show up until you open the #App #Whatsapp","We're here to help out. Any recent changes to the device? First, check the notification settings: https://t.co/2txgOv5s2M",third_party_app_issue
1003797,"I do that ""You turn on Bluetooth in Control Center."" and it won't reconnect. Don't care about Pencil, Watch. It should reconnect on its own","If you want devices to automatically reconnect you would just want to use the on/off button in Settings &gt; Bluetooth.",software_issue
1003849,"fucking hell what is this, it’s happening to a few people I know right now https://t.co/v7pbOkX0s7","We can help look into what's going on. What device and iOS do you have? It's under Settings &gt; General &gt; About.",general_complaint_vague
1003872,11.1,"Thanks for the info. We'd be happy to look into this with you further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT",no_actionable_content
1004470,"It says “let me listen” but never offers results. This has happened the last 3 or 4 times I tried it. The song ends &amp; it’s still searching.","Got it, thanks for clearing that up for us. Which device and iOS version are you using with Siri?",software_issue
1005017,"Yes I have an iPhone 7 Plus and Watch is 38mm old model not 100% certain of model","Thanks for the details. Next, so we can go into more detail and to protect your privacy, let's meet in DM. https://t.co/GDrqU22YpT",no_actionable_content
1005210,"hi guys Could you please DM me to discuss an issue I'm having with account recovery please? I'm getting really annoyed now 😭","For help with your Apple ID, reach out to our Account Security team here: https://t.co/UJm15vmMM2",account_data_issue
1007158,"I’m using Instagram trying to import my profile pic from twitter.","Let's look into this further together. Send us a DM &amp; we'll continue there. https://t.co/GDrqU22YpT",how_to_question
1007791,"Hey after ios 11.0.3 update the speaker on my phone doesn’t work. Speaker on other things fo. How do I fix?","We'd be happy to help out. To confirm, is there no sound at all, from any app or program, coming from the speaker?",software_issue
1007812,"why is you latest iOS so buggy, apps not working correctly, glitches between apps (and in app). It’s frustrating.","We can work together to figure this out. What's the exact iOS 11 version you're using? Are all of your apps up to date?",software_issue
