tweet_id,customer_tweet_id,created_at,customer_message,support_response
2082704,2082705,Tue Oct 10 19:53:40 +0000 2017,"Hello , I can't login to my iCloud account [with right password], I also can't backup my contacts and I've lost them.",We're here for you! Are you getting any error messages when trying to log in to iCloud? Tell us more in DM: https://t.co/GDrqU22YpT
2728150,2728152,Mon Nov 20 14:16:00 +0000 2017,"hi, my phone was stolen so I deleted the device from my Apple ID account after changing my password. It did backup on iCloud before it went missing, how long will this backup be stored securely for? Thanks.",We hate to hear that your iPhone was stolen. That is a great question. The backup will be available for 180 days after you disable or stop using iCloud backup on that device. Here is a link that will tell you more: https://t.co/70mUf8SUdM https://t.co/GDrqU22YpT
2849141,2849143,Mon Nov 27 19:09:00 +0000 2017,How possibly can that you lost my all information from my icloud account? I’m paying monthly and yearly to you for keeping my information safe? All my contacts notes photos are gone??? And how come you guys are asking us to trust you to be part of Apple Pay?,"We know how special your photos are, along with the rest of your content. We're happy to help get this sorted out together with you. Did anything happen prior to noticing your information missing? Let us know more in DM, please. https://t.co/GDrqU22YpT"
480627,480629,Fri Dec 01 13:14:00 +0000 2017,"hi I was finally able to recover my account password &amp; all the contacts attached to it, but not the 13k photos that were on it. An person reset my phone when this whole mess started &amp; it wasn’t backed up.... any troubleshooting ideas or am I outta luck? https://t.co/OlRCmhduV3",We know how important your photos are and we want to get you connected to our Photo team for help. Please use this link to get in contact with them: https://t.co/IBIY3vMgPj Select Apps &amp; Software &gt; iOS apps.
2617035,2617033,Sun Nov 26 22:00:56 +0000 2017,It's the backup on the Mac which my friend is locked out of. It's encrypted. It's asking for password to restore from backup. Isn't that the same as the Apple ID password? All data is stored on Macbook locally.,"Thanks for letting us know more details, if the backup has been encrypted there is no way to bypass or use the information in it without the original password. You can learn more here: https://t.co/s6tdVStcb2"
2371075,2371076,Tue Nov 14 00:40:00 +0000 2017,"Your systems status says iCloud is up, but I'm trying to restore phone from iCloud backup and I'm unable to connect to iCloud (on WiFi or on cell data). Also unable to login to https://t.co/9xBSntxtDH on computer. Error msgs say issue connecting to iCloud servers.",Thanks for reaching out to us. We'd like to help you and look into this iCloud issue further. Please DM us to continue working on this. https://t.co/GDrqU22YpT
1046627,1046625,Sat Oct 14 18:32:00 +0000 2017,"after updating my iPhone 7 to iOS 11.0.3 and iCloud restore, all my photos are missing. “updating” has no progress. https://t.co/1sEAmtKxxb",We can help. Let's connect to a Wi-Fi network to see if the issue persists.
2801470,2801467,Wed Nov 22 01:20:27 +0000 2017,"I am able to sign in to a non admin account, but when I try to make changes I am prompted for my Apple ID and password, which are rejected. They are both known to be correct and working on other Apple devices",Can you send us a screenshot of the message where it asks for your password when you try to make changes? Send it in a DM with the link below. https://t.co/GDrqU22YpT
861937,861938,Fri Oct 13 14:39:07 +0000 2017,restore from iCloud backup should have my photos..correct ?,We can explain that. An iCloud backup will include camera photos unless iCloud Photo Library is on which negates that need.
2780613,2780614,Tue Nov 21 16:53:00 +0000 2017,"can you please start making good quality phones 😡, it sucks you know, coz i have lost my data, i lost my job opportunity and still not able to login because the mobile number i have registered i change and can't pass the 2step verification.","We understand needing access to your account. It's important to always keep your info up-to-date. If you no longer have access to a trusted device or phone number and are using two-factor authentication, you'll want to enter account recovery: https://t.co/nXAGZj0EE7"
2977102,2977103,Thu Nov 16 21:40:51 +0000 2017,"Hi Apple...quick question, if I erase all contents and settings on my phone, will I lose my messages? I'm having trouble with retrieving my photos from iCloud so want to restore from backup but read can only do this if I have done erase all contents and settings","Thanks for reaching out. Messages are also saved in the backup, though an erase would remove them as well. Though we may be able to help restore your iCloud photos without having to do a full erase and restore from backup. DM us here to continue: https://t.co/GDrqU22YpT"
599128,599130,Sun Dec 03 20:23:29 +0000 2017,"received my iPhone X yesterday, while transferring data from iPhone 7 to X, it didn’t restore to the latest backup. 😞 So I don’t have all the photos &amp; data I need on the new iPhone X. &amp; couldn’t contain their excitement until the setup was complete.🙄","Hi there! If you'd like, you can go back and follow these steps to get everything transferred over: https://t.co/lOVrD5pu5o"
2079836,2079837,Mon Oct 09 20:09:33 +0000 2017,I need help. my iPhone back up from my iCloud is Missing. I have alot of important data on that backup that I can't lose.,We'd be happy to help. DM us the details of what you're trying to do and where you're looking for the backup at. https://t.co/GDrqU22YpT
171746,171747,Fri Nov 24 22:14:00 +0000 2017,"Activation lock on both of my two step verification devices, is there any possible way can I get on to either phone when I've forgotten my password for my icloud email, without it take 3 weeks by going through Account Recovery - I have no phone right now",We completely understand wanting to get back into those devices! Have a look at these articles and see if they help: Recover your Apple ID with two-factor authentication account recovery: https://t.co/nXAGZj0EE7 Find My iPhone Activation Lock: https://t.co/yFrcT36syx
2185548,2185549,Thu Nov 09 18:16:00 +0000 2017,This is spam right I clicked verify your account an it took me to webpage of apple ID i entered my ID and password https://t.co/edaVyUFf7Z,This article may help: https://t.co/ufbG3Gx5bq You can reach out with questions here: https://t.co/UJm15vmMM2
2347538,2347539,Mon Nov 13 16:56:01 +0000 2017,"Your latest update bricked my iPhone X. When I try to restore pics from iCloud, it's not working and my last hard backup was November 2nd on my old phone. I lost pictures and videos so thanks for already having a colossal screwup 10 days I bought it.",Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT
2894754,2894756,Tue Nov 28 15:57:29 +0000 2017,I am unable to get access to my Apple ID as I forgot the password and I tried to recover my account many times but it’s not working please help,"Hey, we'll do our best to help you regain access to your account. When you say that you tried to recover your account, are you referring to the account recovery process for your Apple ID set up with two-factor authentication? What happened when you tried?"
154450,154451,Fri Nov 24 16:43:08 +0000 2017,"Thank you for forcing me to restore &amp; update my phone.I only lost all of my photos,contacts and messages in the process. Not to mention my camera doesn’t work anymore 🙃🙃 thnx","We can help out! Do you have a recent backup in iCloud or iTunes of the device? Also, what issues are happening with the camera?"
2690853,2690855,Sun Nov 19 16:13:27 +0000 2017,"What's the point of encrypting iOS backups if your password doesn't work when you eventually need to restore a device? All my backup data is on my iMac and Time Machine, but not possible to access/restore. Help me , you're my only hope.",We can help with encrypted backups! Please take a look at the following article for some guidance if your password isn't working: https://t.co/s6tdVSKN2A
90665,90666,Thu Nov 30 14:51:33 +0000 2017,"I'm trying to recover my Apple ID and when I do it says ""cannot verify account we apologise but we are unable to verify your account information online""",Being able to access your Apple ID is important. Reach out to the Apple ID team to help take a closer look here: https://t.co/UJm15vmMM2
2894779,2894780,Tue Nov 28 15:54:30 +0000 2017,I'm trying to get my iPhone 7 ready for recycling but I can't delete my iCloud account. I get a message saying 'Couldn't delete account. The account may be syncing data. Please try again.' I've also tried signing out on the Apple ID page but nothing happens.,Thank you for reaching out to us. We'd love to help with this. Could you please let us know in DM the software version you're using on your iPhone 7? https://t.co/GDrqU22YpT
148071,148072,Fri Nov 24 14:57:00 +0000 2017,how do I sign out my Apple ID account without having to verify my account? I know the password to my Apple ID I just can’t verify my account because I forgot my email password I literally had this since the first iPod Touch came out. I just want to sign out,We know how important it is to be able to manage your Apple ID and we can assist. Let's chat over in Direct Message so we can go into further details about the process. https://t.co/GDrqU22YpT
