tweet_id,customer_tweet_id,created_at,customer_message,support_response
2525504,2525505,Thu Nov 16 03:36:33 +0000 2017,I purchased an Apple Music family subscription and my credit card got charged twice. Could you help me with that?,Let's get you connected with iTunes Store Support for further help on this issue: https://t.co/SDIe7UiyJN You can also check to see if you can resolve this online at https://t.co/tlZYM6JMKL
697032,697033,Thu Oct 05 23:24:50 +0000 2017,hi I need help. I've been charged for an app purchase even though I cancelled the subscription to do a different package help!,"Thanks for reaching out! For this issue, reach out to our awesome iTunes Advisors by phone or chat here: https://t.co/SDIe7UiyJN"
926458,926456,Fri Oct 13 22:06:25 +0000 2017,"I have already canceled the subscription within the app, but i didn’t want or approve of the purchase, any way of a refund?","Good, so you have it canceled. For refund request, you will need to go to: https://t.co/A5QhKRZhQQ"
822689,822690,Sun Oct 08 20:41:00 +0000 2017,"I was charged over $500 for a subscription that I never signed up for, and you won't refund me. You don't need to rip people off...",Check out this article for help: https://t.co/8sHmV9bTIS Questions? Contact our iTunes Store folks: https://t.co/SDIe7UiyJN
2050565,2050566,Thu Oct 05 18:54:55 +0000 2017,I didn’t change my payment information so I can’t understand what is the problem! I pay my €0.99 subscription for years now. https://t.co/tlZHVDRtzq,"We can help! This may be a phishing email: https://t.co/LNMCdqt6fD If you have any questions, send us a DM. https://t.co/GDrqU22YpT"
2688145,2688147,Sun Nov 19 14:17:27 +0000 2017,"My tv offered me a 3-month free Apple Music trial subscription. After logging in, my iTunes/AppStore credit was charged €9,99 without notice. Any chance to cancel and get a refund?",Thanks for reaching out. We'd be happy to help. You can check for this charge and request a refund here: https://t.co/TnACmwZbFZ.
2772643,2772644,Mon Nov 27 00:34:00 +0000 2017,I bought an iPhone and an iPad for my mum on apple store. 12 hours after the order you decided to charge my credit card for the iPad again. I wonder how your billing system even works or when I can get my $529 back.,We want to help get you pointed in the right direction. You'll want to speak to our team over in Online Store support. You'll be able to reach them here: https://t.co/8yjRd1Xo0i
1099680,1099682,Mon Oct 23 22:34:56 +0000 2017,you charged me an extra fee for my Spotify Account. I’d like a refund and for Apple to cancel the subscription.,We'd be glad to get you pointed in the right direction for help. Reach out to our iTunes Store team: https://t.co/SDIe7UiyJN
2678268,2678269,Sun Nov 19 13:12:31 +0000 2017,hello I’ve been charged twice for my LinkedIn subscription. Is there any way into get a refund for accessa mount charged?,"Thanks for reaching out, we're more than happy to help get you directed to the best place for support with charges from subscriptions. You can get started by reviewing the information in this article: https://t.co/taIxXM0mAZ"
2410204,2410205,Tue Nov 14 16:41:01 +0000 2017,"I update my payment information with a new credit card in mi order of iPhone X, but the charge has not been made yet. Please help!!","We're excited for you to get your hands on the new iPhone X and to properly address this, you'll want to reach out to our Online Store support to help with this. You can reach them here: https://t.co/8yjRd1Xo0i"
2336130,2336132,Fri Oct 20 03:23:27 +0000 2017,Apple Music switched up on me. Charged me 40 and made my subscription double the price. Que te hice Bebe,Let's get you to our iTunes Store Support team for help with your concern. Click here to reach them: https://t.co/SDIe7UiyJN
744249,744250,Wed Oct 11 16:09:08 +0000 2017,Purchased no. Downloaded via Apple Music subscription though.,Is iCloud Music Library enabled on your new iPhone? You can check at Settings &gt; Music. DM us and we will continue there. https://t.co/GDrqU22YpT
584749,584750,Sun Dec 03 14:29:31 +0000 2017,"Hi, I cancelled a subscription for FilmMaker Pro on the App Store, but I have still been charged £44.99 for a whole year?",For this particular issue let's get you in touch with an iTunes Store Advisor for further assistance at: https://t.co/SDIe7UiyJN.
756534,756536,Wed Oct 11 18:33:00 +0000 2017,I'm charged ₹60 for free subscription on iTunes. Please provide me details why I'm charged when it's free. https://t.co/DORPM0mBla,"To help you get the best support with billing concerns, we suggest that you contact iTunes Store Support: https://t.co/SDIe7UiyJN"
