tweet_id,customer_tweet_id,created_at,customer_message,support_response
2746080,2746081,Mon Nov 20 22:27:00 +0000 2017,"Every app i have has crashed at least once, snapchat, google drive, Gboard, instagram, twitter, inbox, facebook messenger Q-Q and when i have like 4 apps open in the background every move that i make in apps i have to carefully wait and pay attention that i dont go too fast",We understand. Would you mind please joining us in DM? We'd like to start troubleshooting with you. https://t.co/GDrqU22YpT
269171,269172,Fri Oct 06 01:01:32 +0000 2017,"Im using the iphone 7 plus and the apps that are crashing are Spotify, YouTube, Facebook, Xbox app, SoundCloud, and Instagram","When did this issue begin happening, and Is anything different from when it was working until now, such as an upgrade to iOS?"
2291657,2291654,Sun Nov 26 16:15:30 +0000 2017,"Various apps such as Netflix, Facebook, snapchat, instagram to name a few. Facebook app just froze when I went into it there so I went to take a screenshot to send it on but it just has frozen my phone again.It's turning itself off again. I uninstalled and reinstalled the apps.",Thanks for those details. Please DM us using the following link and we'll gather more info from you and your device there. https://t.co/GDrqU22YpT
1387674,1387673,Mon Oct 16 16:14:34 +0000 2017,"No, they all are. A few apps that I use often include Spotify, YouTube, Instagram, Snapchat, VSCO, Facebook. Clock, notes - all slower.","Thanks. So we can look at all of your support options, could you provide your current location? Please reply in DM. https://t.co/GDrqU22YpT"
2512317,2512315,Wed Nov 15 23:52:38 +0000 2017,"I'm afraid it happens with pretty much every application I use: Google Chrome, the Microsoft Office Suite, Spotify, Whatsapp, Finder and Calendar. :(","Understood. Is it completely powering down or restarting? If so, are you receiving any kind of message once your Mac powers back on?"
1013798,1013796,Tue Oct 24 15:48:27 +0000 2017,"Instagram, tinder, bumble, Facebook, gmail app, Texas poker",We'd like to take a deeper look into this with you. DM us and we'll get started. https://t.co/GDrqU22YpT
1181874,1181872,Sun Oct 15 22:39:53 +0000 2017,"Iphone 7, IOS 11.0.3, every app on my phone e.g Snapchat, instagram, Spotify even safari. Keeps freezing and resetting",We'd like to check on some support options for you. Send us a DM and let us know which country you're in. https://t.co/GDrqU22YpT
514819,514821,Sat Dec 02 00:16:27 +0000 2017,"There's this bug I've been constantly having and like.. the sound stops working for every app I have except for the following which I know of that the sound works on: YouTube, Facebook, Instagram. Can you take a look at that? Thanks",We want to help. Which iPhone model do you own?
1065250,1065247,Sat Oct 14 22:47:00 +0000 2017,"AOL Email, Facebook, Twitter, MyFitnessPal, sky news, bbc news, snapchat, Instagram, WhatsApp, Timehop, Wales online, capital one, imdb",DM us and we can look into this together. https://t.co/GDrqU22YpT
695368,695369,Thu Nov 23 15:39:53 +0000 2017,"why is my iPhone crashing on every app when I play a video? Snapchat, instagram, Facebook? Phone is updated as well as apps",Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
2967817,2967815,Thu Nov 30 00:19:00 +0000 2017,"Yes! They are working fine (the native mail app does not work properly though) but third party apps such as WhatsApp, instagram, Twitter and a bunch others are not sending notifications out.",We appreciate the information provided. Let's hop into DM and start some basic troubleshooting together. https://t.co/GDrqU2kzhr
2547231,2547230,Thu Nov 16 19:35:00 +0000 2017,"Well, sometimes Spotify audio cuts off when I open Instagram, sometimes google is slower than normal to load into the app, and typing sometimes freezes and then catches up to what you typed while it was frozen. I opened the weather app last night and my screen went black, frozen.",Have you noticed if this may be related to your internet connection or does this seem to be the apps themselves?
2897747,2897745,Tue Nov 28 17:15:42 +0000 2017,"iphone 6, and it does work on the camera app. every app says ""you need to turn it on in privacy"" but they all worked yesterday. twit wont let me upload or take photos, or messenger, or discord, or snapchat.","Alright, have you had the chance to access Settings &gt; Privacy &gt; Camera to check if the toggles are green next to the apps you're wanting to use the camera with?"
396108,396105,Tue Oct 10 23:22:27 +0000 2017,iPadPro (11.0.2) and iPhone 6+ (11.0.1). The message appears when try tap Google Drive in the Files App,Thank you! Do you have Restrictions enabled in either of those? This shows where the setting is: https://t.co/eiyAtwvrU1
457194,456109,Fri Dec 01 00:32:26 +0000 2017,"It freezes randomly when opening most of my apps and lasts for several seconds, this has never happened before. I have ‘Reset all Settings’ and it works a bit better, but I still have problems. Happens with apps such as Facebook, Instagram, Google Chrome, etc. Very frustrating","So, to clarify, the iPhone is not powering down or exiting apps, but rather freezing or operating slower than expected, is that correct? How long ago did you install this update? Does it occur with any Apple provided apps?"
453889,453887,Thu Nov 30 23:53:28 +0000 2017,I thought maybe using video in Instagram or Snapchat or any other app would be the thing causing settings to change so I checked and it wasn’t that,Thank you for sharing all these details about the situation. Can you let us know in DM if changing from the rear to the front camera may be affecting this setting? We’ll continue to explore this together there. https://t.co/GDrqU22YpT
2703176,2703174,Sun Nov 19 22:13:00 +0000 2017,"No it can be random. Apple Music/Google play, YouTube, Snapchat, when I’m typing. I can successfully replicate it when I’m listen to music and typing a text out or watching Snapchat stories.",Let's take a closer look at the issue. Reach out via DM using the link below. https://t.co/GDrqU22YpT
2707671,2707672,Mon Nov 20 00:12:00 +0000 2017,"I’m having audio/video problems with iPhone X. Everything pauses all the time. Happens on Spotify, Snapchat and YouTube. Any reasoning why this might be happening",We'd like to find out what can be done about the pause during your media playback. Can you send us a DM and let us know the iOS version installed? https://t.co/GDrqU22YpT
2755797,2755798,Mon Nov 20 21:37:00 +0000 2017,"Upgraded to High Sierra and my FaceTime camera freezes up after 2-10 seconds with any application that uses is (Google Hangout, Slack, FaceTime, etc)","We'd love to help! Let's test this issue in another user account by logging out of your current user, and logging back in as a guest, or test user, and see if the same issue occurs there. Please let us know how it goes, and we'll go from there."
865878,865876,Fri Oct 13 15:49:34 +0000 2017,youtube via app and spotify? Ive closed everything and reset but it still doing it 🤷🏻‍♂️,We'd like to look into this further. Please click here to join us in DM. We'll continue there: https://t.co/GDrqU2kzhr
701629,701631,Thu Nov 23 17:00:00 +0000 2017,"hi, I updated to 11.1 2 and now videos won’t play in any of my apps. YouTube, Twitter, facebook, instagram. Nada. 😐","Thanks for getting in touch! That's certainly no fun, but you're in the right place to get those videos playing again. Do you get an error message when you try to play them? Have you restarted your iPhone since noticing this? Which device are you watching on?"
242620,242618,Wed Oct 04 21:37:00 +0000 2017,It connects and when I try to load Facebook or Instagram it says “can not refresh feed check connection” on the app.,"Has the device been restarted since it happened? If not, let's do that using these steps, DM us results: https://t.co/OWRDHWSt4h https://t.co/GDrqU22YpT"
936086,324301,Sat Sep 23 19:37:28 +0000 2017,This is the worst software update ever. My iPhone keeps crashing all the time when using Spotify and Instagram or Twittee app.,"Hi! To clarify, do you mean that those specific apps are closing when using them?"
1002975,1002977,Sun Oct 22 15:02:26 +0000 2017,"This iOS 11.0.3 doesn’t support sharing contents in gallery over any application such as WhatsApp, Gmail, or FB. Please assist",We’d like to see how we can help. Can you DM us some more details about the issue you're having? https://t.co/GDrqU22YpT
1168609,1168607,Sun Oct 15 20:07:32 +0000 2017,"Spotify, Facebook, Twitter, YouTube, any apps that have sound. Only way to get rid of it is to restart my phone",Which version of iOS are you using? You can check in Settings &gt; General &gt; About.
805658,805659,Thu Oct 12 17:38:00 +0000 2017,Do I have to delete and reinstall the entire Google Drive app to do that?,We'd be happy to look into this with you further. DM us and we'll go from there. https://t.co/GDrqU22YpT
1087781,1087779,Mon Oct 23 19:16:00 +0000 2017,"iOS 11.0.3. It happens in normal use with any App (Twitter, WhatsApp, Facebook,etc) the screen freeze... no response for a while...",Thanks. Send us a DM and we'll take a closer look into this with you. https://t.co/GDrqU22YpT
193608,193606,Wed Oct 04 16:46:25 +0000 2017,"nothing loads. Spotify says “Spotify is offline,” Instagram says “no internet connection,” Google maps says “offline.”","When you navigate to Settings &gt; Cellular, do you have Cellular Data turned on here? Also, which iOS version is running?"
695358,695356,Thu Nov 23 16:50:27 +0000 2017,When trying to open apps such as Whatsapp &amp; Facebook it takes a really long time to open &amp; load information. It also seems that the phone now cannot handle having more than one app open at a time and completely crashes resulting in having to shut all the apps down &amp; start again.,"That is never what we want to hear. Is Whatsapp and Facebook the only apps that have a delay when opening them? Also, when you have to close all the apps, are Whatsapp and Facebook open at that time as well? https://t.co/GDrqU22YpT"
248729,248728,Thu Oct 05 18:52:25 +0000 2017,"Every app tried it with updating -Asphalt 8 , google maps, And downloading-Xe currency,bad piggies and YouTube","Have you tried restarting your device and trying again? Also, what's the exact iOS version installed?"
2889509,2889507,Tue Nov 28 19:31:00 +0000 2017,"Everything force closes , Youtube, Snapchat , Facebook , &amp; my keyboard forever lagging &amp; glitching , and “IT” still can’t be typed without I.t being corrected to ‘I.t’",Which iPhone model do you have and what's the exact iOS version number installed on it? Have you tried any steps since these three issues started?
545204,545206,Sat Dec 02 17:02:33 +0000 2017,"my Apple Music stops playing anytime I click an app, whether it be snapchat, WhatsApp, anything. AFTER the update.😡",Thanks for reaching out. Could you tell us what kind of device are you using and what is the exact iOS version you're running? Tap Settings &gt; General &gt; About and let us know.
483210,483211,Fri Dec 01 14:26:00 +0000 2017,whenever I try to open a third party app on my Apple Watch series 3 it always crashes. I’ve tried many apps such as messenger and calculators and the only apps I’ve been able to use are instagram an solitare On my brothers watch a few of the same apps work. any fix?,We want to be sure that you can access your apps as you'd expect to. We're happy to help! Check out the steps you can take outlined here: https://t.co/fUZ0NRJxcn Let us know how it goes.
2710957,661687,Mon Nov 20 02:08:25 +0000 2017,With the new update my phone goes from 100% battery to 10% just by opening one app like IG or Snapchat or Gmail. Then it routinely crashes and restarts. Very annoying. Pls fix.,We'd love to help with any issues you're experiencing. Please let us know which iPhone and the exact version of iOS 11 that you're using.
2547169,2547170,Thu Nov 16 14:28:32 +0000 2017,"updated app and now messages, Facebook messenger, YouTube all won’t work and freeze",Thanks for reaching out. We're happy to look into this with you. Which device are you using that you're experiencing this behavior?
1470709,1470707,Mon Oct 16 20:47:36 +0000 2017,"Google chrome, it happens on the YouTube app too but not as frequently",Thanks. Do you experience this if watching a video via Safari? How about a movie or show from iTunes?
1501967,1501965,Fri Nov 03 20:52:32 +0000 2017,Third party Gmail app,Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
1335345,1335344,Mon Oct 16 15:58:36 +0000 2017,Yes it does. I opened same video in YouTube app it’s full hd!! I made a video story in snapchat from my iPhone 6 when I and when viewed...,Have you tried uninstalling and reinstalling SnapChat to see if the issue continues? DM us here: https://t.co/GDrqU22YpT
1335343,1335341,Mon Oct 16 15:13:00 +0000 2017,It does in Instagram and Facebook too. when I browse videos the quality is blurry. When I watch others stories in snapchat quality is bad.,If you view videos in Safari does the issue continue there?
188345,188343,Wed Oct 04 17:59:01 +0000 2017,"Ya with pandora, instagram, Snapchat or Netflix it will just crash","Head to the App Store &amp; make sure those apps are up-to-date. Also, what’s the exact version of iOS that you have installed?"
1407846,1407847,Mon Oct 16 17:07:00 +0000 2017,"my cellular data does not work for most of the app i.e whatsapp, Instagram after 11.0.3 update. Pls fix the issue.",We're here to help. Would you please tell us more about the issue? Are you getting an error message?
2675739,2675740,Tue Oct 31 13:16:00 +0000 2017,"11.0.3 I'm unable to send via whatsapp, email or sms any of my photos neither upload them on instagram or in any other app😅",We'd be happy to help. Tell us more about what's happening via DM. https://t.co/GDrqU22YpT
1955989,1955991,Mon Oct 30 16:55:36 +0000 2017,"hi! My Apple Watch won't open WhatsApp, instagram and Facebook messenger....any advice? It's brand new....",Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can troubleshoot together. https://t.co/GDrqU22YpT
1924836,1924837,Tue Nov 14 14:44:33 +0000 2017,"Retina 5K, 27-inch, Mid 2015 High Sierra. Mail: Not syncing with gmail/g suite. Messages: Can't use Gooogle chat on it anymore... Would I need to use different app as a desktop client for google chat. If yes which one? Cheers","Perfect, thank you. Do you have other mail accounts on your Mac? If so, are they syncing without issues?"
1902793,1902794,Wed Oct 25 01:10:26 +0000 2017,iPhone 5S keeps dying on 40%+ while on Snapchat app and 30%+ while on Netflix app. No extreme external temperatures. Why?,We'd like to gather some more information for troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU2kzhr
1575876,1575877,Sun Nov 26 03:36:31 +0000 2017,I’m using gmail...and no other third party app ... iPhone SE,"To open or edit Word documents on your iPhone, you'll need a program able to interface with that file type like Pages. Check out https://t.co/0OxCAuJbMM for details on the file types supported by that app. DM us if you have any other questions: https://t.co/GDrqU22YpT"
1561691,1561690,Sat Oct 28 23:31:25 +0000 2017,"Yes. Nothing on instagram, Snapchat, Twitter, or Facebook loads.",Let's see if anything may be preventing this. Are Restrictions enabled under Settings &gt; General?
1828302,1828303,Tue Oct 17 13:03:36 +0000 2017,my apps keep crashing! Especially Instagram and Snapchat. Is there something wrong with the app or software.,That's not the experience we'd want you to have. Send us a DM with details of your experience and we'll continue from there. https://t.co/GDrqU22YpT
1828688,1828689,Tue Oct 17 14:02:00 +0000 2017,Google Drive authorization screen in Files app looks like this (Italian) #ios11 https://t.co/0uqRqWI9i6,Thanks for bringing this to our attention. Have you had a chance to restart your iPad since noticing it? Please DM us to proceed. https://t.co/GDrqU22YpT
1798508,1798506,Wed Oct 18 01:24:33 +0000 2017,"Yes. My other apps are able to use Internet like Instagram, Facebook, Snapchat etc.","Since you've noticed this issue, have you done a normal restart of the iPhone? A fresh start can fix most issues."
2480182,2480184,Sun Oct 29 21:51:26 +0000 2017,"Estaba usando el celular y de la nada se reinicio y ya no tengo ninguna canción en Spotify, instagram y snapchat están desinstalados",We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
2130317,2130316,Wed Nov 08 20:46:31 +0000 2017,"yes, i can’t use the back camera on instagram and facebook but it works on twitter and snapchat. the selfie camera does work normal","Alright, understood. DM us and let us know what model iPhone you have exactly. We'd like to help you more with this. https://t.co/GDrqU22YpT"
2138270,2138269,Wed Nov 08 22:46:00 +0000 2017,"It appears and connects, but whenever I️ try to use any app(Instagram Snapchat) and even the settings anything requiring internet won’t work",Let's make sure your router's settings are correct for your Apple devices. Take a look at this article: https://t.co/KfV6ZxtNwE
2061873,2061874,Fri Oct 06 13:05:00 +0000 2017,"My iPhone 6s says I have no space but I only have Snapchat, Instagram, and Netflix. Each run at 100+ MB. How do I fix this?","We want you to have the correct reported storage on your iPhone, so let's look into this. DM us which iOS version you have: https://t.co/GDrqU22YpT"
1889163,1889164,Sun Oct 22 14:11:00 +0000 2017,"ios 11.0.3 is performing very bad, slow down the devices, malfunction the apps like whatsapp, google maps, youtube, outlook","We'd love look into this with you. Please DM your model device, iOS version, and country so we can find your options and help. https://t.co/GDrqU22YpT"
