tweet_id,created_at,customer_message,support_response,gold_intent
2246727,Sun Nov 26 14:49:24 +0000 2017,can you help me? Im fuking tired this phenomenon... https://t.co/Tw7Z565E4c,We'd be happy to look into this issue with you. Please DM us the iOS version currently installed and we'll get started sorting this out. https://t.co/GDrqU22YpT,general_complaint_vague
1070197,Mon Oct 23 16:20:00 +0000 2017,iOS 11.0.3 It’ll drop out &amp; reconnect after a little while. Phone has been restarted but continues to drop Bluetooth connection on calls,What's your car's make and model? Let us know in DM: https://t.co/GDrqU22YpT,software_issue
433126,Tue Oct 10 15:54:00 +0000 2017,why don’t some podcasts download?,We're here to help. Which device and software version are you using? What happens when you try to download Podcasts?,software_issue
1024309,Sat Oct 14 16:48:32 +0000 2017,"Natalie, Reston Virginia store went above and beyond today to offer a great experience. Deserved a shout out for tremendous service","Thanks for sharing your story, and we're delighted your visit went well. Please reach out if you need anything in the future.",no_actionable_content
1342985,Mon Oct 16 13:29:34 +0000 2017,Do I need iBooks for Mac to hide book purchases? Or is it possible to do it on an iOS device as well?,Hey there. We'll be happy to answer that. You can hide iBooks purchases on a Mac or PC: https://t.co/jjLUETEY0J,how_to_question
1146709,Sun Oct 15 16:55:31 +0000 2017,"6Months After Buying My IPhone7 Plus(Defective Replace In July)&amp;The Hardware Obvi Cant Handle IOS11,Gets Hot,Slow,Freezes,&amp;This HQ?",We're happy help. Which version of iOS 11 is installed? Is the slowness &amp; unresponsive behavior system wide or app specific?,hardware_issue
374241,Mon Oct 09 00:45:29 +0000 2017,help!!! It won't even let me delete account or anything https://t.co/U5pyYDcyYX,"We can definitely help you. DM us, and we'll see what we can do. https://t.co/GDrqU22YpT",account_data_issue
338650,Sat Oct 07 22:44:29 +0000 2017,#NAME?,"If that purchase was from our iTunes Store in the last 90 days, check this link for steps to take: https://t.co/A5QhKRZhQQ",purchase_billing
917161,Tue Oct 10 18:02:00 +0000 2017,HOW THE FUCK DO I GET MY MONEY BACK FROM,We're here to help. Send us a DM with the details of what's happening. We can help guide you from there. https://t.co/GDrqU22YpT,purchase_billing
1616828,Sat Nov 25 13:26:31 +0000 2017,"If could get their shit together and fix the god damned keyboard and the “A?” situation, that would be nice.","We're here to help. An update has been released that addresses this issue. If you haven't already, back up your iPhone and update to the latest iOS version. For more information about this, click here: https://t.co/xXaXeeSRt9 DM us if you have questions. https://t.co/GDrqU22YpT",software_issue
